Title
12 Monkeys
300
Akira
Alien
Alien: Covenant
Alien: Resurrection
Aliens
Alien³
Arena
Armour of God
Operation Condor
Barbarella
Barbie
The Batman
Batman
Batman & Robin
Batman Begins
Batman Forever
Batman Returns
Batman v Superman: Dawn of Justice
Battle Creek Brawl
The Big Lebowski
Big Trouble in Little China
Blade
Blade Runner
The Blues Brothers
The Bourne Identity
The Bourne Legacy
The Bourne Supremacy
The Bourne Ultimatum
Brazil
Casino Royale
Cellar Dweller
Charade
City Hunter
Clear and Present Danger
A Clockwork Orange
Clue
Come Drink with Me
Crime Story
The Dark Crystal
The Dark Knight
The Dark Knight Rises
Dawn of the Planet of the Apes
Deadpool
Deadpool 2
Death Walks at Midnight
Death Walks on High Heels
Diamonds Are Forever
Die Another Day
Die Hard
District 9
Django
Django Unchained
Dolls
Donnie Darko
Dr. No
Dragon Fist
Dragon Lord
Dredd
Drunken Master
Dune (1984)
Dune (2021)
The Dungeonmaster
The Eight Diagram Pole Fighter
Elf
Escape from L.A.
Escape from New York
Evil Dead
The Evil Dead
Evil Dead II
F9
Face/Off
Fargo
Fast & Furious 6
The Fast and the Furious
Fast & Furious
2 Fast 2 Furious
The Fast and the Furious: Tokyo Drift
Fast Five
The Fate of the Furious
The Fifth Element
Fight Club
Flash Gordon
For Your Eyes Only
The Forbidden Photos of a Lady Above Suspicion
From Russia with Love
The Fugitive
Furious 7
Galaxy Quest
Ghostbusters
The Godfather
Godzilla
Godzilla vs. Kong
GoldenEye
Goldfinger
The Goonies
Grease
Gremlins
Guillermo del Toro's Pinocchio
Hackers
The Hand of Death
Heart of Dragon
Her
Home Alone
Home Alone 2: Lost in New York
Howard the Duck
The Hunt for Red October
The Iguana with the Tongue of Fire
The Imitation Game
Inception
Inglourious Basterds
Interstellar
The Iron Giant
Jason Bourne
John Wick
John Wick: Chapter 2
John Wick: Chapter 3 - Parabellum
John Wick: Chapter 4
Joker
Jumanji
Jurassic Park
Justice League
Kill Bill: Vol 1
The Killer Meteors
The Killer Reserved Nine Seats
King Kong
Labyrinth
Last Action Hero
The Last Starfighter
The Legend of the Drunken Master
License to Kill
Live and Let Die
The Living Daylights
The Lord of the Rings: The Fellowship of the Ring
The Lord of the Rings: The Return of the King
The Lord of the Rings: The Two Towers
Mad Max
Mad Max: Fury Road
The Maltese Falcon
Man of Steel
The Man with the Golden Gun
The Mask of Zorro
The Matrix
Mean Girls
Mighty Morphin Power Rangers: The Movie
Millionaires' Express
Mission: Impossible
Moonraker
Mortal Kombat (2021)
Mortal Kombat (1995)
Mortal Kombat: Annihilation
Moulin Rouge!
The Mummy
The Mummy Returns
The Mummy: Tomb of the Dragon Emperor
New Fist of Fury
The Night Evelyn Came Out of the Grave
The Nightmare Before Christmas
Octopussy
Office Space
On Her Majesty's Secret Service
One-Armed Boxer
Oppenheimer
Patriot Games
Pitch Black
Pokémon 3 the Movie: Spell of the Unown
Pokémon the Movie 2000
Pokémon: The First Movie - Mewtwo Strikes Back
The Princess Bride
Prometheus
The Protector
Pulp Fiction
Quantum of Solace
Reservoir Dogs
Resident Evil
Resident Evil: Apocalypse
Resident Evil: Afterlife
Resident Evil: Extinction
Resident Evil: Retribution
Resident Evil: The Final Chapter
Rise of the Planet of the Apes
The Road Warrior
RoboCop (1987)
Robot Jox
Rogue One: A Star Wars Story
Rumble in the Bronx
The Running Man
Scarface
Scrooged
Shaolin Wooden Men
The Shining
The Silence of the Lambs
Skyfall
Skyscraper
Smile Before Death
Smokin' Aces
Snake and Crane Arts of Shaolin
Snatch
Space Jam (1996)
Spawn
Spectre
Speed
Spider-Man: Homecoming
The Spy Who Loved Me
Star Wars: Episode I - The Phantom Menace
Star Wars: Episode II - Attack of the Clones
Star Wars: Episode III - Revenge of the Sith
Star Wars: Episode IV - A New Hope
Star Wars: Episode V - The Empire Strikes Back
Star Wars: Episode VI - Return of the Jedi
Star Wars: Episode VII - The Force Awakens
Stargate
Starship Troopers
Strip Nude for Your Killer
The Super Mario Bros. Movie
The Suspicious Death of a Minor
The Terminator
Terminator 2: Judgment Day
Terminator 3: Rise of the Machines
Terminator Genisys
Terminator Salvation
Terminator: Dark Fate
They Live
The Thing
Thunderball
Titanic
To Kill with Intrigue
Tomorrow Never Dies
Top Gun
Top Gun: Maverick
Torso
Total Recall (1990)
Tremors
Twinkle Twinkle Lucky Stars
Vertigo
A View to a Kill
War for the Planet of the Apes
Warcraft
WarGames
Watchmen
The Waterboy
Waterworld
"The Weapon, the Hour & the Motive"
Weird Science
Weird: The Al Yankovic Story
What Have They Done to Your Daughters?
What We Do in the Shadows
Wheels on Meals
Willy Wonka & the Chocolate Factory
Winners & Sinners
Wonder Woman
The World Is Not Enough
You Only Live Twice
Zoolander
Super Mario Bros.
