Title,Original Title,Original Language,TMDB ID,IMDB ID,Runtime,Genre(s),Release Date,Revenue,Budget,Status,Tagline,Overview,Production Companies,Production Countries,Spoken Language(s),Collection Title,Collection Name,Collection Release Date,Is Video,Is Adult
Twelve Monkeys,Twelve Monkeys,en,63,tt0114746,129,"[""Science Fiction"",""Thriller"",""Mystery""]",1995-12-29,168841459,29000000,Released,The future is history.,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.","[{""name"":""Universal Pictures"",""originCountry"":""US""},{""name"":""Atlas Entertainment"",""originCountry"":""US""},{""name"":""Classico"",""originCountry"":""""},{""name"":""Twelve Monkeys Productions"",""originCountry"":""""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""Français"",""iso31661"":""fr""}]",,,,false,false
2 Fast 2 Furious,2 Fast 2 Furious,en,584,tt0322259,108,"[""Action"",""Crime"",""Thriller""]",2003-06-05,236350661,76000000,Released,How fast do you like it?,"It's a major double-cross when former police officer Brian O'Conner teams up with his ex-con buddy Roman Pearce to transport a shipment of ""dirty"" money for shady Miami-based import-export dealer Carter Verone. But the guys are actually working with undercover agent Monica Fuentes to bring Verone down.","[{""name"":""Ardustry Entertainment"",""originCountry"":""US""},{""name"":""Mikona Productions"",""originCountry"":""DE""},{""name"":""Original Film"",""originCountry"":""US""},{""name"":""Universal Pictures"",""originCountry"":""US""}]","[{""name"":""Germany"",""iso31661"":""DE""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""Español"",""iso31661"":""es""}]",The Fast and the Furious Collection,The Fast and the Furious Collection,,false,false
300,300,en,1271,tt0416449,116,"[""Action"",""Adventure"",""War""]",2007-03-07,456082343,65000000,Released,Prepare for glory!,"Based on Frank Miller's graphic novel, ""300"" is very loosely based the 480 B.C. Battle of Thermopylae, where the King of Sparta led his army against the advancing Persians; the battle is said to have inspired all of Greece to band together against the Persians, and helped usher in the world's first democracy.","[{""name"":""Virtual Studios"",""originCountry"":""US""},{""name"":""Legendary Pictures"",""originCountry"":""US""},{""name"":""Hollywood Gang Productions"",""originCountry"":""US""},{""name"":""Atmosphere Entertainment MM"",""originCountry"":""US""},{""name"":""Nimar Studios"",""originCountry"":""BG""},{""name"":""Warner Bros. Pictures"",""originCountry"":""US""},{""name"":""Cruel & Unusual Films"",""originCountry"":""US""}]","[{""name"":""Bulgaria"",""iso31661"":""BG""},{""name"":""Canada"",""iso31661"":""CA""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",300 Collection,300 Collection,,false,false
A Clockwork Orange,A Clockwork Orange,en,185,tt0066921,137,"[""Science Fiction"",""Crime""]",1971-12-19,26589000,2200000,Released,"Being the adventures of a young man whose principal interests are rape, ultra-violence and Beethoven.","In a near-future Britain, young Alexander DeLarge and his pals get their kicks beating and raping anyone they please. When not destroying the lives of others, Alex swoons to the music of Beethoven. The state, eager to crack down on juvenile crime, gives an incarcerated Alex the option to undergo an invasive procedure that'll rob him of all personal agency. In a time when conscience is a commodity, can Alex change his tune?","[{""name"":""Warner Bros. Pictures"",""originCountry"":""US""},{""name"":""Hawk Films"",""originCountry"":""GB""}]","[{""name"":""United Kingdom"",""iso31661"":""GB""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",,,,false,false
A View to a Kill,A View to a Kill,en,707,tt0090264,131,"[""Adventure"",""Action"",""Thriller""]",1985-05-24,152427960,30000000,Released,Has James Bond finally met his match?,A newly-developed microchip designed by Zorin Industries for the British Government that can survive the electromagnetic radiation caused by a nuclear explosion has landed in the hands of the KGB. James Bond must find out how and why. His suspicions soon lead him to big industry leader Max Zorin who forms a plan to destroy his only competition in Silicon Valley by triggering a massive earthquake in the San Francisco Bay.,"[{""name"":""EON Productions"",""originCountry"":""GB""},{""name"":""United Artists"",""originCountry"":""US""},{""name"":""Danjaq"",""originCountry"":""US""}]","[{""name"":""United Kingdom"",""iso31661"":""GB""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",James Bond Collection,James Bond Collection,,false,false
Akira,AKIRA,ja,149,tt0094625,124,"[""Animation"",""Science Fiction"",""Action""]",1988-07-16,49000000,5700000,Released,Neo-Tokyo is about to E·X·P·L·O·D·E,A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath that only two teenagers and a group of psychics can stop.,"[{""name"":""MBS"",""originCountry"":""JP""},{""name"":""Sumitomo Corporation"",""originCountry"":""JP""},{""name"":""TOHO"",""originCountry"":""JP""},{""name"":""Studio Fuga"",""originCountry"":""JP""},{""name"":""Studio Aoi"",""originCountry"":""JP""},{""name"":""Kodansha"",""originCountry"":""JP""},{""name"":""Bandai Entertainment"",""originCountry"":""JP""},{""name"":""Tokyo Movie Shinsha"",""originCountry"":""JP""}]","[{""name"":""Japan"",""iso31661"":""JP""}]","[{""name"":""日本語"",""iso31661"":""ja""}]",,,,false,false
Alien,Alien,en,348,tt0078748,117,"[""Horror"",""Science Fiction""]",1979-05-25,104931801,11000000,Released,"In space, no one can hear you scream.","During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.","[{""name"":""20th Century Fox"",""originCountry"":""US""},{""name"":""Brandywine Productions"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""},{""name"":""United Kingdom"",""iso31661"":""GB""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""Español"",""iso31661"":""es""}]",Alien Collection,Alien Collection,,false,false
Alien: Covenant,Alien: Covenant,en,126889,tt2316204,122,"[""Science Fiction"",""Horror"",""Mystery""]",2017-05-09,240891763,97000000,Released,The path to paradise begins in hell.,"The crew of the colony ship Covenant, bound for a remote planet on the far side of the galaxy, discovers what they think is an uncharted paradise but is actually a dark, dangerous world.","[{""name"":""Scott Free Productions"",""originCountry"":""GB""},{""name"":""20th Century Fox"",""originCountry"":""US""},{""name"":""Brandywine Productions"",""originCountry"":""US""}]","[{""name"":""United Kingdom"",""iso31661"":""GB""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""Deutsch"",""iso31661"":""de""}]",Prometheus Collection,Prometheus Collection,,false,false
Alien Resurrection,Alien Resurrection,en,8078,tt0118583,109,"[""Science Fiction"",""Horror"",""Action""]",1997-11-12,162000000,70000000,Released,It's already too late.,"Two hundred years after Lt. Ripley died, a group of scientists clone her, hoping to breed the ultimate weapon. But the new Ripley is full of surprises … as are the new aliens. Ripley must team with a band of smugglers to keep the creatures from reaching Earth.","[{""name"":""20th Century Fox"",""originCountry"":""US""},{""name"":""Brandywine Productions"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""},{""name"":""France"",""iso31661"":""FR""}]","[{""name"":""English"",""iso31661"":""en""}]",Alien Collection,Alien Collection,,false,false
Aliens,Aliens,en,679,tt0090605,137,"[""Action"",""Thriller"",""Science Fiction""]",1986-07-18,183316455,18500000,Released,This time it's war.,"Ripley, the sole survivor of the Nostromo's deadly encounter with the monstrous Alien, returns to Earth after drifting through space in hypersleep for 57 years. Although her story is initially met with skepticism, she agrees to accompany a team of Colonial Marines back to LV-426.","[{""name"":""SLM Production Group"",""originCountry"":""US""},{""name"":""20th Century Fox"",""originCountry"":""US""},{""name"":""Brandywine Productions"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",Alien Collection,Alien Collection,,false,false
Alien³,Alien³,en,8077,tt0103644,114,"[""Science Fiction"",""Action"",""Horror""]",1992-05-22,159773545,50000000,Released,3 times the suspense. 3 times the danger. 3 times the terror.,"After escaping with Newt and Hicks from the alien planet, Ripley crash lands on Fiorina 161, a prison planet and host to a correctional facility. Unfortunately, although Newt and Hicks do not survive the crash, a more unwelcome visitor does. The prison does not allow weapons of any kind, and with aid being a long time away, the prisoners must simply survive in any way they can.","[{""name"":""20th Century Fox"",""originCountry"":""US""},{""name"":""Brandywine Productions"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",Alien Collection,Alien Collection,,false,false
Arena,Arena,en,44796,tt0101366,94,"[""Science Fiction"",""Action"",""Horror""]",1989-03-29,0,0,Released,For a thousand years no human has been the champion. He wants to be the first.,"An intergalactic fighting competition between champions of various worlds has traditionally been won by a species much larger and stronger than humans. Entering the contest, a human finds he has to battle against not just his opponents and his self-doubts, but the corrupt system. Far in the future, on a distant space station, the legendary Arena is where the best fighters from every planet come to vie for the championship. But for over half a century, no Earthling has been good enough to be a contender. Until out of nowhere, comes an underdog: the great human hope, Steve Armstrong... and the best anyone's ever seen. He's been training all his life for a shot at the big time, but now he's up against some mighty big muscle: a ruthless extra-terrestrial crimelord who'll pull no punches to make sure he stops Steve dead. In the mood for hard-hitting sci-fi action? Arena will knock you out!","[{""name"":""Altar Productions"",""originCountry"":""""},{""name"":""Empire Pictures"",""originCountry"":""US""},{""name"":""Trans World Entertainment (TWE)"",""originCountry"":""""}]","[{""name"":""Italy"",""iso31661"":""IT""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",,,,false,false
Armour of God,龍兄虎弟,cn,10974,tt0091431,98,"[""Adventure"",""Action"",""Comedy""]",1986-08-16,16000000,15000000,Released,Jackie Chan in his greatest adventure ever!,"Jackie Chan stars as Asian Hawk, an Indiana Jones-style adventurer looking to make a fortune in exotic antiquities. After Hawk discovers a mysterious sword in Africa, a band of Satan-worshipping monks kidnap his ex-girlfriend Lorelei, demanding the sword as ransom as well as other pieces of the legendary Armour of God - a magical outfit dating back to the Crusades.","[{""name"":""Orange Sky Golden Harvest"",""originCountry"":""HK""},{""name"":""Golden Way Films Ltd."",""originCountry"":""HK""},{""name"":""Jadran Film"",""originCountry"":""HR""}]","[{""name"":""Hong Kong"",""iso31661"":""HK""}]","[{""name"":""广州话 / 廣州話"",""iso31661"":""cn""}]",Armour of God Collection,Armour of God Collection,,false,false
Barbarella,Barbarella,en,8069,tt0062711,98,"[""Science Fiction"",""Adventure"",""Comedy"",""Fantasy""]",1968-10-10,2500000,9000000,Released,See Barbarella do her thing!,"In the far future, a highly sexual woman is tasked with finding and stopping the evil Durand-Durand. Along the way she encounters various unusual people.","[{""name"":""Paramount"",""originCountry"":""US""},{""name"":""Dino de Laurentiis Cinematografica"",""originCountry"":""IT""},{""name"":""Marianne Productions"",""originCountry"":""FR""}]","[{""name"":""France"",""iso31661"":""FR""},{""name"":""Italy"",""iso31661"":""IT""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""Français"",""iso31661"":""fr""}]",,,,false,false
Barbie,Barbie,en,346698,tt1517268,114,"[""Comedy"",""Adventure""]",2023-07-19,1445638421,145000000,Released,She's everything. He's just Ken.,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.","[{""name"":""LuckyChap Entertainment"",""originCountry"":""US""},{""name"":""Heyday Films"",""originCountry"":""GB""},{""name"":""NB/GG Pictures"",""originCountry"":""US""},{""name"":""Mattel"",""originCountry"":""US""},{""name"":""Warner Bros. Pictures"",""originCountry"":""US""}]","[{""name"":""United Kingdom"",""iso31661"":""GB""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",,,,false,false
Batman,Batman,en,268,tt0096895,126,"[""Fantasy"",""Action"",""Crime""]",1989-06-21,411348924,35000000,Released,Justice is always darkest before the dawn.,"Batman must face his most ruthless nemesis when a deformed madman calling himself ""The Joker"" seizes control of Gotham's criminal underworld.","[{""name"":""Warner Bros. Pictures"",""originCountry"":""US""},{""name"":""Polygram Pictures"",""originCountry"":""US""},{""name"":""Guber/Peters Company"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""Français"",""iso31661"":""fr""}]",Batman Collection,Batman Collection,,false,false
Batman & Robin,Batman & Robin,en,415,tt0118688,125,"[""Action"",""Science Fiction"",""Adventure""]",1997-06-20,238207122,125000000,Released,"Strength Now. Courage Always. Family, Above All. Batman and Robin!",Batman and Robin deal with relationship issues while preventing Mr. Freeze and Poison Ivy from attacking Gotham City.,"[{""name"":""Warner Bros. Pictures"",""originCountry"":""US""},{""name"":""Polygram Pictures"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",Batman Collection,Batman Collection,,false,false
Batman Begins,Batman Begins,en,272,tt0372784,140,"[""Action"",""Crime"",""Drama""]",2005-06-10,374218673,150000000,Released,Evil fears the knight.,"Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman.","[{""name"":""Warner Bros. Pictures"",""originCountry"":""US""},{""name"":""DC Comics"",""originCountry"":""US""},{""name"":""Syncopy"",""originCountry"":""GB""},{""name"":""Legendary Pictures"",""originCountry"":""US""},{""name"":""Patalex III Productions Limited"",""originCountry"":""""}]","[{""name"":""United Kingdom"",""iso31661"":""GB""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""اردو"",""iso31661"":""ur""},{""name"":""普通话"",""iso31661"":""zh""}]",The Dark Knight Collection,The Dark Knight Collection,,false,false
Batman Forever,Batman Forever,en,414,tt0112462,121,"[""Action"",""Crime"",""Fantasy""]",1995-06-16,336529144,100000000,Released,"Courage now, truth always, Batman forever!",Batman must battle a disfigured district attorney and a disgruntled former employee with help from an amorous psychologist and a young circus acrobat.,"[{""name"":""Warner Bros. Pictures"",""originCountry"":""US""},{""name"":""Tim Burton Productions"",""originCountry"":""US""},{""name"":""Polygram Pictures"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",Batman Collection,Batman Collection,,false,false
Batman Returns,Batman Returns,en,364,tt0103776,126,"[""Action"",""Fantasy""]",1992-06-19,280000000,80000000,Released,"The Bat, the Cat, the Penguin.","In the sewers of Gotham City and up to the rooftops of Gotham City, the Penguin (Danny DeVito) wants to know where he came from... Just as Catwoman (Michelle Pfeiffer) plans to kill Gotham's wealthy man, Max Shreck (Christopher Walken), but while trying to fight him, he... With millionaire Bruce Wayne (Michael Keaton), and both men had their own secrets. ..Bruce Wayne returns as Batman as he tries to stop the Penguin; ...Max helps the Penguin rob Gotham City, while Catwoman tries to help the Penguin, not knowing the goal of killing her man. Max has planned at Christmas time in Gotham City, where Christmas celebrations are being held under the siege of the Penguin Man and a group of mutants, and the man has to Bat saves the day","[{""name"":""Warner Bros. Pictures"",""originCountry"":""US""},{""name"":""Polygram Pictures"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",Batman Collection,Batman Collection,,false,false
Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,en,209112,tt2975590,152,"[""Action"",""Adventure"",""Fantasy""]",2016-03-23,874362803,250000000,Released,Who will win?,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.","[{""name"":""Warner Bros. Pictures"",""originCountry"":""US""},{""name"":""RatPac Entertainment"",""originCountry"":""US""},{""name"":""Atlas Entertainment"",""originCountry"":""US""},{""name"":""DC Entertainment"",""originCountry"":""US""},{""name"":""Cruel & Unusual Films"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",Man of Steel Collection,Man of Steel Collection,,false,false
The Big Brawl,The Big Brawl,en,19267,tt0080436,95,"[""Action"",""Comedy""]",1980-08-18,8527743,6000000,Released,Where the only rule is to stay alive.,A young Asian American martial artist is forced to participate in a brutal formal street-fight competition.,"[{""name"":""Orange Sky Golden Harvest"",""originCountry"":""HK""},{""name"":""Warner Bros. Pictures"",""originCountry"":""US""}]","[{""name"":""Hong Kong"",""iso31661"":""HK""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",,,,false,false
Big Trouble in Little China,Big Trouble in Little China,en,6978,tt0090728,100,"[""Comedy"",""Action"",""Fantasy""]",1986-05-30,11102672,25000000,Released,Jack Burton's in for some serious trouble and you're in for some serious fun.,"Jack Burton, a tough-talking truck driver, goes into a supernatural tailspin when his best friend's fiancée is kidnapped.","[{""name"":""TAFT Entertainment Pictures"",""originCountry"":""""},{""name"":""20th Century Fox"",""originCountry"":""US""},{""name"":""SLM Production Group"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""广州话 / 廣州話"",""iso31661"":""cn""},{""name"":""English"",""iso31661"":""en""}]",,,,false,false
Blade,Blade,en,36647,tt0120611,121,"[""Horror"",""Action""]",1998-08-21,131183530,45000000,Released,"Against an army of Immortals, one warrior must draw first blood.","The Daywalker known as ""Blade"" - a half-vampire, half-mortal man - becomes the protector of humanity against an underground army of vampires.","[{""name"":""New Line Cinema"",""originCountry"":""US""},{""name"":""Amen Ra Films"",""originCountry"":""US""},{""name"":""Imaginary Forces"",""originCountry"":""""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""Pусский"",""iso31661"":""ru""},{""name"":""English"",""iso31661"":""en""}]",Blade Collection,Blade Collection,,false,false
Blade Runner,Blade Runner,en,78,tt0083658,118,"[""Science Fiction"",""Drama"",""Thriller""]",1982-06-25,41722424,28000000,Released,Man has made his match...now it's his problem.,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.","[{""name"":""Shaw Brothers"",""originCountry"":""HK""},{""name"":""The Ladd Company"",""originCountry"":""US""},{""name"":""Warner Bros. Pictures"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""},{""name"":""Hong Kong"",""iso31661"":""HK""},{""name"":""United Kingdom"",""iso31661"":""GB""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""Deutsch"",""iso31661"":""de""},{""name"":""广州话 / 廣州話"",""iso31661"":""cn""},{""name"":""日本語"",""iso31661"":""ja""},{""name"":""Magyar"",""iso31661"":""hu""}]",Blade Runner Collection,Blade Runner Collection,,false,false
Brazil,Brazil,en,68,tt0088846,143,"[""Comedy"",""Science Fiction""]",1985-02-20,9900000,15000000,Released,It's only a state of mind.,"Low-level bureaucrat Sam Lowry escapes the monotony of his day-to-day life through a recurring daydream of himself as a virtuous hero saving a beautiful damsel. Investigating a case that led to the wrongful arrest and eventual death of an innocent man instead of wanted terrorist Harry Tuttle, he meets the woman from his daydream, and in trying to help her gets caught in a web of mistaken identities, mindless bureaucracy and lies.","[{""name"":""Embassy International Pictures"",""originCountry"":""US""}]","[{""name"":""United Kingdom"",""iso31661"":""GB""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",,,,false,false
Casino Royale,Casino Royale,en,36557,tt0381061,144,"[""Adventure"",""Action"",""Thriller""]",2006-11-14,599045960,150000000,Released,Everyone has a past. Every legend has a beginning.,"Le Chiffre, a banker to the world's terrorists, is scheduled to participate in a high-stakes poker game in Montenegro, where he intends to use his winnings to establish his financial grip on the terrorist market. M sends Bond—on his maiden mission as a 00 Agent—to attend this game and prevent Le Chiffre from winning. With the help of Vesper Lynd and Felix Leiter, Bond enters the most important poker game in his already dangerous career.","[{""name"":""Metro-Goldwyn-Mayer"",""originCountry"":""US""},{""name"":""Columbia Pictures"",""originCountry"":""US""},{""name"":""EON Productions"",""originCountry"":""GB""},{""name"":""Danjaq"",""originCountry"":""US""},{""name"":""Casino Royale Productions"",""originCountry"":""US""}]","[{""name"":""United Kingdom"",""iso31661"":""GB""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""Français"",""iso31661"":""fr""}]",James Bond Collection,James Bond Collection,,false,false
Cellar Dweller,Cellar Dweller,en,58797,tt0094850,77,"[""Fantasy"",""Horror""]",1988-09-20,0,0,Released,It'll Eat You Out Of House And Home...,"In the 1950s, a horror-comic artist's creations come alive and kill him. Years later a new cartoonist revives the creatures in his house, now part of an artist's colony.","[{""name"":""Empire Pictures"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",,,,false,false
Charade,Charade,en,4808,tt0056923,113,"[""Comedy"",""Mystery"",""Romance""]",1963-12-05,13475000,4000000,Released,Is anyone really who they seem to be?,"After Regina Lampert falls for the dashing Peter Joshua on a skiing holiday in the French Alps, she discovers upon her return to Paris that her husband has been murdered. Soon, she and Peter are giving chase to three of her late husband's World War II cronies, Tex, Scobie and Gideon, who are after a quarter of a million dollars the quartet stole while behind enemy lines. But why does Peter keep changing his name?","[{""name"":""Stanley Donen Films"",""originCountry"":""GB""},{""name"":""Universal Pictures"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""Français"",""iso31661"":""fr""},{""name"":""Deutsch"",""iso31661"":""de""},{""name"":""Italiano"",""iso31661"":""it""}]",,,,false,false
City Hunter,城市獵人,cn,11198,tt0103950,105,"[""Action"",""Adventure"",""Comedy"",""Romance""]",1993-01-01,0,0,Released,"He's out of town, out of time and out of his depth!","A self-indulgent private investigator winds up on a cruise ship full of rich patrons, gorgeous women, murderous terrorists, and scarce food.","[{""name"":""Orange Sky Golden Harvest"",""originCountry"":""HK""},{""name"":""Golden Way Films Ltd."",""originCountry"":""HK""},{""name"":""Paragon Films Ltd."",""originCountry"":""HK""}]","[{""name"":""Hong Kong"",""iso31661"":""HK""},{""name"":""Japan"",""iso31661"":""JP""}]","[{""name"":""Italiano"",""iso31661"":""it""},{""name"":""普通话"",""iso31661"":""zh""},{""name"":""Português"",""iso31661"":""pt""},{""name"":""广州话 / 廣州話"",""iso31661"":""cn""}]",,,,false,false
Clear and Present Danger,Clear and Present Danger,en,9331,tt0109444,141,"[""Action"",""Drama"",""Thriller""]",1994-08-03,215900000,62000000,Released,Truth needs a soldier.,"Agent Jack Ryan becomes acting Deputy Director of Intelligence for the CIA when Admiral Greer is diagnosed with cancer. When an American businessman, and friend of the president, is murdered on his yacht, Ryan starts discovering links between the man and drug dealers. As former CIA agent John Clark is sent to Colombia to kill drug cartel kingpins in retaliation, Ryan must fight through multiple cover-ups to figure out what happened and who's responsible.","[{""name"":""Paramount"",""originCountry"":""US""},{""name"":""Mace Neufeld Productions"",""originCountry"":""US""},{""name"":""Robert Rehme Productions"",""originCountry"":""""}]","[{""name"":""United States of America"",""iso31661"":""US""},{""name"":""Mexico"",""iso31661"":""MX""}]","[{""name"":""English"",""iso31661"":""en""}]",The Jack Ryan Collection,The Jack Ryan Collection,,false,false
Clue,Clue,en,15196,tt0088930,94,"[""Comedy"",""Thriller"",""Crime"",""Mystery""]",1985-12-13,14643997,15000000,Released,It's not just a game anymore.,"Clue finds six colorful dinner guests gathered at the mansion of their host, Mr. Boddy -- who turns up dead after his secret is exposed: He was blackmailing all of them. With the killer among them, the guests and Boddy's chatty butler must suss out the culprit before the body count rises.","[{""name"":""Debra Hill Productions"",""originCountry"":""US""},{""name"":""Paramount"",""originCountry"":""US""},{""name"":""PolyGram Filmed Entertainment"",""originCountry"":""US""},{""name"":""Guber/Peters Company"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""Français"",""iso31661"":""fr""},{""name"":""English"",""iso31661"":""en""}]",,,,false,false
Come Drink with Me,大醉俠,zh,26259,tt0059079,91,"[""Action"",""Adventure""]",1966-04-07,0,0,Released,,"Golden Swallow is a fighter-for-hire who has been contracted by the local government to retrieve the governor's kidnapped son. Holding him is a group of rebels who are demanding that their leader be released from prison in return for the captured son. After a brief encounter with the gang at a local restaurant, Golden Swallow is joined by an inebriated wanderer Drunken Cat who aids her in her mission.","[{""name"":""Shaw Brothers"",""originCountry"":""HK""}]","[{""name"":""Hong Kong"",""iso31661"":""HK""}]","[{""name"":""普通话"",""iso31661"":""zh""}]",Golden Swallow Collection,Golden Swallow Collection,,false,false
Crime Story,重案組,cn,18857,tt0108656,107,"[""Action"",""Crime"",""Thriller""]",1993-06-24,194720,0,Released,The world's toughest city needs more than an army to stop the mob… They need one man!,"A special agent is assigned to protect a wealthy business magnate. However, when the businessman is kidnapped in a daring ambush, he teams up with a seasoned detective to crack the case. But soon he discovers the case isn't that simple.","[{""name"":""Orange Sky Golden Harvest"",""originCountry"":""HK""}]","[{""name"":""Hong Kong"",""iso31661"":""HK""}]","[{""name"":""普通话"",""iso31661"":""zh""},{""name"":""English"",""iso31661"":""en""},{""name"":""广州话 / 廣州話"",""iso31661"":""cn""}]",,,,false,false
Dawn of the Planet of the Apes,Dawn of the Planet of the Apes,en,119450,tt2103281,130,"[""Science Fiction"",""Action"",""Drama"",""Thriller""]",2014-07-08,710644566,170000000,Released,One last chance for peace.,"A group of scientists in San Francisco struggle to stay alive in the aftermath of a plague that is wiping out humanity, while Caesar tries to maintain dominance over his community of intelligent apes.","[{""name"":""TSG Entertainment"",""originCountry"":""US""},{""name"":""Chernin Entertainment"",""originCountry"":""US""},{""name"":""Ingenious Media"",""originCountry"":""GB""}]","[{""name"":""United Kingdom"",""iso31661"":""GB""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",Planet of the Apes (Reboot) Collection,Planet of the Apes (Reboot) Collection,,false,false
Deadpool,Deadpool,en,293660,tt1431045,108,"[""Action"",""Adventure"",""Comedy""]",2016-02-09,782837347,58000000,Released,Feel the love.,"The origin story of former Special Forces operative turned mercenary Wade Wilson, who, after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.","[{""name"":""20th Century Fox"",""originCountry"":""US""},{""name"":""The Donners' Company"",""originCountry"":""US""},{""name"":""Genre Films"",""originCountry"":""US""},{""name"":""Marvel Entertainment"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",Deadpool Collection,Deadpool Collection,,false,false
