Title,Original Title,Original Language,TMDB ID,IMDB ID,Runtime,Genre(s),Release Date,Revenue,Budget,Status,Tagline,Overview,Production Companies,Production Countries,Spoken Language(s),Collection Title,Collection Name,Collection Release Date,Is Video,Is Adult
Reservoir Dogs,Reservoir Dogs,en,500,tt0105236,99,"[""Crime"",""Thriller""]",1992-09-02,2859750,1200000,Released,Every dog has his day.,"A botched robbery indicates a police informant, and the pressure mounts in the aftermath at a warehouse. Crime begets violence as the survivors -- veteran Mr. White, newcomer Mr. Orange, psychopathic parolee Mr. Blonde, bickering weasel Mr. Pink and Nice Guy Eddie -- unravel.","[{""name"":""Live Entertainment"",""originCountry"":""US""},{""name"":""Dog Eat Dog Productions"",""originCountry"":""""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",,,,false,false
Resident Evil,Resident Evil,en,1576,tt0120804,100,"[""Horror"",""Action"",""Science Fiction""]",2002-03-15,103000000,33000000,Released,A secret experiment. A deadly virus. A fatal mistake.,"When a virus leaks from a top-secret facility, turning all resident researchers into ravenous zombies and their lab animals into mutated hounds from hell, the government sends in an elite military task force to contain the outbreak.","[{""name"":""Impact Pictures"",""originCountry"":""GB""},{""name"":""Davis Films"",""originCountry"":""FR""},{""name"":""New Legacy Film"",""originCountry"":""GB""},{""name"":""Constantin Film"",""originCountry"":""DE""}]","[{""name"":""Canada"",""iso31661"":""CA""},{""name"":""France"",""iso31661"":""FR""},{""name"":""Germany"",""iso31661"":""DE""},{""name"":""United Kingdom"",""iso31661"":""GB""}]","[{""name"":""English"",""iso31661"":""en""}]",Resident Evil Collection,Resident Evil Collection,,false,false
Resident Evil: Afterlife,Resident Evil: Afterlife,en,35791,tt1220634,97,"[""Action"",""Adventure"",""Horror"",""Science Fiction""]",2010-09-09,300200000,60000000,Released,Experience a new dimension of evil,"In a world ravaged by a virus infection, turning its victims into the Undead, Alice continues on her journey to find survivors and lead them to safety. Her deadly battle with the Umbrella Corporation reaches new heights, but Alice gets some unexpected help from an old friend. A new lead that promises a safe haven from the Undead takes them to Los Angeles, but when they arrive the city is overrun by thousands of Undead - and Alice and her comrades are about to step into a deadly trap.","[{""name"":""Screen Gems"",""originCountry"":""US""},{""name"":""Constantin Film"",""originCountry"":""DE""},{""name"":""Davis Films/Impact Pictures"",""originCountry"":""CA""}]","[{""name"":""Canada"",""iso31661"":""CA""},{""name"":""Germany"",""iso31661"":""DE""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""},{""name"":""Español"",""iso31661"":""es""},{""name"":""日本語"",""iso31661"":""ja""}]",Resident Evil Collection,Resident Evil Collection,,false,false
Resident Evil: Apocalypse,Resident Evil: Apocalypse,en,1577,tt0318627,94,"[""Horror"",""Action"",""Science Fiction""]",2004-09-10,129400000,45000000,Released,The evil continues...,"As the city is locked down under quarantine, Alice finds out that the people that died from the previous incident at the Umbrella Corporation have turned into zombies. She then joins a small band of elite soldiers, who are enlisted to rescue the missing daughter of the creator of the mutating T-virus.  Once lack of luck and resources happen, they begin to wage an exhilarating battle to survive and escape before the Umbrella Corporation erases its experiment from the face of the earth.","[{""name"":""Davis Films/Impact Pictures"",""originCountry"":""CA""},{""name"":""Screen Gems"",""originCountry"":""US""},{""name"":""Constantin Film"",""originCountry"":""GB""}]","[{""name"":""Canada"",""iso31661"":""CA""},{""name"":""United Kingdom"",""iso31661"":""GB""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",Resident Evil Collection,Resident Evil Collection,,false,false
Resident Evil: Extinction,Resident Evil: Extinction,en,7737,tt0432021,94,"[""Horror"",""Action"",""Science Fiction""]",2007-09-20,148400000,45000000,Released,All bets are off,"Years after the Racoon City catastrophe, survivors travel across the Nevada desert, hoping to make it to Alaska. Alice joins the caravan and their fight against hordes of zombies and the evil Umbrella Corp.","[{""name"":""Screen Gems"",""originCountry"":""US""},{""name"":""Impact Pictures"",""originCountry"":""GB""},{""name"":""Davis Films"",""originCountry"":""FR""},{""name"":""Constantin Film"",""originCountry"":""DE""}]","[{""name"":""Canada"",""iso31661"":""CA""},{""name"":""France"",""iso31661"":""FR""},{""name"":""Germany"",""iso31661"":""DE""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",Resident Evil Collection,Resident Evil Collection,,false,false
Resident Evil: Retribution,Resident Evil: Retribution,en,71679,tt1855325,95,"[""Action"",""Horror"",""Science Fiction""]",2012-09-12,240200000,65000000,Released,Evil goes global,"The Umbrella Corporation’s deadly T-virus continues to ravage the Earth, transforming the global population into legions of the flesh eating Undead. The human race’s last and only hope, Alice, awakens in the heart of Umbrella’s most clandestine operations facility and unveils more of her mysterious past as she delves further into the complex. Without a safe haven, Alice continues to hunt those responsible for the outbreak; a chase that takes her from Tokyo to New York, Washington, D.C. and Moscow, culminating in a mind-blowing revelation that will force her to rethink everything that she once thought to be true. Aided by new found allies and familiar friends, Alice must fight to survive long enough to escape a hostile world on the brink of oblivion. The countdown has begun.","[{""name"":""Davis Films/Impact Pictures"",""originCountry"":""CA""},{""name"":""Constantin Film"",""originCountry"":""DE""},{""name"":""Screen Gems"",""originCountry"":""US""}]","[{""name"":""Canada"",""iso31661"":""CA""},{""name"":""Germany"",""iso31661"":""DE""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",Resident Evil Collection,Resident Evil Collection,,false,false
Resident Evil: The Final Chapter,Resident Evil: The Final Chapter,en,173897,tt2592614,107,"[""Action"",""Horror"",""Science Fiction""]",2016-12-23,312200000,40000000,Released,Evil comes home,"Picking up immediately after the events in Resident Evil: Retribution, Alice is the only survivor of what was meant to be humanity's final stand against the undead. Now, she must return to where the nightmare began - The Hive in Raccoon City, where the Umbrella Corporation is gathering its forces for a final strike against the only remaining survivors of the apocalypse.","[{""name"":""Screen Gems"",""originCountry"":""US""},{""name"":""Constantin Film"",""originCountry"":""DE""},{""name"":""Impact Pictures"",""originCountry"":""GB""},{""name"":""Davis Films"",""originCountry"":""FR""}]","[{""name"":""Canada"",""iso31661"":""CA""},{""name"":""France"",""iso31661"":""FR""},{""name"":""Germany"",""iso31661"":""DE""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",Resident Evil Collection,Resident Evil Collection,,false,false
Rise of the Planet of the Apes,Rise of the Planet of the Apes,en,61791,tt1318514,105,"[""Thriller"",""Action"",""Drama"",""Science Fiction""]",2011-08-03,481800873,93000000,Released,Evolution Becomes Revolution.,"A highly intelligent chimpanzee named Caesar has been living a peaceful suburban life ever since he was born. But when he gets taken to a cruel primate facility, Caesar decides to revolt against those who have harmed him.","[{""name"":""Dune Entertainment"",""originCountry"":""US""},{""name"":""Chernin Entertainment"",""originCountry"":""US""},{""name"":""Ingenious Media"",""originCountry"":""GB""},{""name"":""Big Screen Productions"",""originCountry"":""GB""},{""name"":""20th Century Fox"",""originCountry"":""US""}]","[{""name"":""United Kingdom"",""iso31661"":""GB""},{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",Planet of the Apes (Reboot) Collection,Planet of the Apes (Reboot) Collection,,false,false
RoboCop,RoboCop,en,5548,tt0093870,102,"[""Action"",""Thriller"",""Science Fiction""]",1987-07-17,53424681,13000000,Released,"Part man, part machine, all cop.","In a violent, near-apocalyptic Detroit, evil corporation Omni Consumer Products wins a contract from the city government to privatize the police force. To test their crime-eradicating cyborgs, the company leads street cop Alex Murphy into an armed confrontation with crime lord Boddicker so they can use his body to support their untested RoboCop prototype. But when RoboCop learns of the company's nefarious plans, he turns on his masters.","[{""name"":""Orion Pictures"",""originCountry"":""US""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",RoboCop Collection,RoboCop Collection,,false,false
Robot Jox,Robot Jox,en,15618,tt0102800,85,"[""Science Fiction"",""Action""]",1989-10-01,0,10000000,Released,The ultimate killing machine. Part Man. Part Metal.,"50 years after a nuclear war, the two superpowers handle territorial disputes in a different way. Each fields a giant robot to fight one-on-one battles in official matches, each piloted by a man inside, known as robot jockeys or jox. The contest for possession of Alaska will be fought by two of the best. The conscientious Achilles fights for the Americans. Opposing him is a Russian, Alexander.","[{""name"":""Empire Pictures"",""originCountry"":""US""},{""name"":""Altar Productions"",""originCountry"":""""}]","[{""name"":""United States of America"",""iso31661"":""US""}]","[{""name"":""English"",""iso31661"":""en""}]",,,,false,false
